Age,Salary,Purchase
58,70346,0
48,93526,1
34,113143,0
27,76787,1
40,73583,0
58,52563,1
38,86060,0
42,73690,0
30,54925,0
30,60108,0
43,116515,1
55,108258,0
59,45355,1
43,86069,1
22,94471,1
41,72705,1
21,83909,0
43,93739,0
49,116820,1
57,63241,0
21,67414,1
40,90818,0
52,60895,1
31,102409,0
41,95324,1
44,106920,0
46,93555,0
47,105453,1
35,62689,0
34,104356,1
22,48252,1
56,70844,0
26,63365,1
40,46026,0
28,68523,1
58,50482,1
37,88888,1
23,90110,0
44,40493,0
33,96194,1
28,79767,0
45,69550,0
21,53833,1
39,42970,1
47,89177,0
26,107342,0
27,111200,0
54,101501,0
33,68900,0
36,54126,0
55,110690,1
59,119303,1
23,87994,0
21,107061,0
25,56978,1
23,96344,0
48,86648,1
37,41055,1
45,115582,1
53,84876,0
29,78725,1
55,45255,1
33,114947,1
50,93380,1
34,93333,0
27,82459,0
33,76163,1
42,73971,1
59,105149,1
40,59476,1
35,108580,0
37,109050,0
43,115526,1
45,47507,0
44,110393,1
48,52118,0
34,90529,1
20,108682,1
44,94176,0
26,44414,0
28,102137,1
43,43937,1
20,76731,1
27,78665,0
43,114510,0
30,57500,0
36,41750,0
27,105018,1
54,44027,1
54,45745,0
52,101731,0
24,68451,0
58,111474,1
47,101536,1
26,52150,1
28,53406,0
27,59781,1
31,97417,0
53,58325,0
52,108684,1
42,113469,1
43,49436,0
56,57669,0
54,112010,0
59,116764,0
41,41843,1
46,105609,1
54,90812,0
20,56059,0
54,80768,0
56,65395,1
33,60202,0
22,53273,1
20,88889,0
24,113048,1
45,85510,1
33,110649,1
58,42881,1
46,85913,1
28,105037,1
34,102457,0
34,75343,0
45,102389,0
32,118250,1
51,48656,1
58,45741,0
51,56661,1
23,68690,1
49,72833,1
56,111240,1
42,117711,1
58,97141,0
34,118232,0
48,79023,1
55,80209,0
32,54440,0
51,47960,1
26,62462,1
41,57821,1
47,97772,0
21,67258,1
25,102524,0
47,62115,0
47,86433,1
39,119364,0
49,110077,0
30,80644,1
47,102643,0
44,53311,1
58,70531,1
52,54588,1
20,89416,0
46,52380,1
32,82645,0
22,57818,1
58,70857,0
25,61711,0
27,45097,1
46,68393,0
28,62076,0
56,97609,0
52,69317,1
43,98480,0
34,47044,0
51,111033,0
51,95486,1
43,95162,1
31,119287,0
58,69882,0
21,94078,0
22,98734,0
56,83826,0
36,84028,0
21,91331,1
21,72543,1
47,69362,0
42,67315,1
56,67746,1
51,50057,1
52,82915,1
20,61061,0
38,91370,0
21,74157,1
45,51322,0
51,109812,0
25,117842,0
51,74017,0
23,96792,1
30,67742,0
36,104808,0
57,57629,0
43,48245,0
24,83870,1
53,104829,0
25,50588,1
41,40442,1
30,117339,1
35,80721,0
52,77145,0
28,50599,1
25,112594,1
35,117430,0
48,42939,0
22,62149,0
39,106567,1
55,50208,0
38,106098,1
45,89492,1
22,60951,1
38,88920,1
39,86766,0
51,97014,1
26,68351,1
52,89386,1
59,49308,0
58,99252,1
37,115145,0
59,68064,0
20,93879,1
30,48720,1
47,82940,1
44,119993,0
42,108475,1
50,87113,0
49,88926,1
54,78203,0
26,45392,1
35,65905,1
45,113508,0
21,90385,0
20,70653,1
31,54799,1
24,100103,1
56,55052,1
51,46044,0
28,59871,0
54,60234,0
38,61381,0
35,57274,1
22,89892,0
39,90521,1
43,57920,1
52,56702,1
43,41894,1
30,70985,0
